Name,Filter,Category,Tags,Text,Status
Вскрывание замков,"Интеллектуально цепляющее, Не выходя из дома",Другое,"защищённость, знания, самопроявление","Люди слишком сильно доверяют замкам, думая, что взлом - дело сложное и долгое. На самом деле замки, которые стоят в ваших дверях скорее всего взламываются за 1-2 минуты 😱
В общем, если вы чуть поиграетесь с замками, то научитесь правильно их выбирать для себя и своей семьи

Чтобы понять как это всё работает нужно купить “прозрачный замок с отмычками” [типо такого](https://rozetka.com.ua/350254512/p350254512/?utm_l=r&gclid=Cj0KCQiAofieBhDXARIsAHTTldrZhMkT7rGDNqcHVHYAZWFoaN_feUS2IPldX_tQgvsOzBjRYT-PDFgaAnxQEALw_wcB)
В начале можно самостоятельно попытаться догодаться как взламать его отмычками. 
[Либо сразу посмотреть туториал](https://www.youtube.com/watch?v=gTZddvAws9M)

Совсем скоро с тренировкой станет страшно от того что ты понимаешь, что открываешь его всего за 5-7 секунд. Вот тогда [советую смотреть этот канал](https://www.youtube.com/@lockpickinglawyer/videos) и учиться понимать какие замки использовать самому и советовать знакомым",Done
Настольные игры,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Не выходя из дома, Расслабляющее, Соревновательное, Социальное",Игры и спорт,"защищённость, лидерство, помогахерство, приключенчество, самопроявление, слава","Существует море настольных игр

С чего же начать?
Идеальный вариант понять что тебе понравится, это подсмотреть как играют другие компании. [Вот очень классное шоу, где знаменитости играют в настолки](https://www.youtube.com/playlist?list=PLg1O2qzquXSN5mjFjuwdRozEKptNPHvDT)

Когда какая-то очень понравится, подумай сможешь ли собрать под неё компанию друзей. Если да - шикардос. Если же не достанет друзей либо друзьям не понравится эта игра - можешь пойти в настольные клубы своего города. Обычно магазины настольных игр организовывают у себя игры по выходным. Там ты можешь познакомиться с множеством приятных людей, с которыми будешь пробовать новые настолки

Как бонус, игры в настолки дают тебе +15% к социальным способностям: научишься лучше распознавать когда тебя пытаются кинуть, договариваться и продумывать будущее",Done
Компьютер (понимание + сборка),"Интеллектуально цепляющее, Не выходя из дома",Другое,"защищённость, знания, помогахерство","Компьютер кажется мистической вещью, почти никто не понимает кто это такой и как он работает. Но на самому деле устройство компьютера крайне простое

Кроме того что это интересно, понимание своего друга компа позволяет лучше с ним обходиться, самостоятельно чинить и улучшать не переплачивая.
Знание различных особенностей поможет не ошибаться в сборке нового пк.

С чего начать?
[Крайне интересный и поучительный канал](https://www.youtube.com/c/ЭтотКомпьютер/videos)
[Развлекательно-познавательный канал, который поможет подобрать детали под бюджет и собрать из них копм](https://www.youtube.com/@KOMPUKTER/videos)",Done
Кубик Рубика,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Легко начать, Не выходя из дома, Соревновательное",Игры и спорт,"защищённость, приключенчество, слава","Обычно люди думают, что собрал кубик и всё, можно ложить на полочку 🌝

Нэт. На самом деле это очень обширное дело: можно стараться совершенствовать свою скорость, можно научиться собирать вслепую, 1-й рукой или вообще положив его перед собой продумать наперёд всю его сборку в минимальное кол-во шагов. 
В общем тут почти каждый сможет найти то, что ему по-приколу

Кубик поможет тебе развить ловкость рук, память и концентрацию на борьбе с собой вчерашним

В начале нужно выбрать куб. Он должен легко крутиться вообще не заедая.
Как найти?
1. Подумай есть ли у кого-то с знакомых и долгани на время
2. Если у знакомых нет - советую купить модель [Guanlong](https://krutygolov.com.ua/product/guanlong?gclid=EAIaIQobChMI7b_Im7Hd_AIVTJBoCR0duwKWEAQYASABEgKAH_D_BwE). Он очень классно крутится, проживёт века и это всё, что тебе нужно

Начинаем:
1. Первое собирание. [Вот хорошая инструкция от чемпиона мира](https://www.youtube.com/watch?v=n6hyCY-TuoU&list=PLghedgfwuoYN-VU94kXFyi-bujBwqEoUp&index=1)
2. Когда собрал в 1 раз, это не конец, а только только начало. Искусство собрать не в том, чтобы собрать куб, а в том, чтобы это сделать быстро и минимальным кол-вом движений. Мировой рекорд - 3 с половиной секунды 

Собирая, включай таймер и развивай скорость. В начале попробуй дойти к тому, чтобы собирать быстрее минуты, потом быстрее 55 секунд. Предела нет)
Задача - с каждым следующим днём стараться быть лучше себя вчерашнего. Это так классно)

3.1 [Продвинутая сборка](https://www.youtube.com/playlist?list=PLNkxn3GUm4UNjuoP5msnYFpUirNXZ7D_s). Если тебе нравится это дело, то время выходить на новый уровень. Тут будет много формул, но если захочешь, ты их запомнишь и сможешь собирать не за 40 секунд, а за 20 или 15 или 5 😯

3.2 Либо моё любимое - мы дошли до того, чтобы собирать куб вслепую!!! Думаю, что ты тоже офигеваешь от такой суперспособности, но тебе это под силу) [Уроки](https://www.youtube.com/watch?v=_zwPy2NTbnQ&list=PL8fmG0NzQKgdUADK82SpV23vdwfQjSxxB&index=1)",Done
Блогинг,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Легко начать, Не выходя из дома, Социальное",Другое,"лидерство, помогахерство, самопроявление, слава","Если ты кайфуешь от того, что твои мысли помогают окружающим - блог явно стоит попробовать. Как приятный побочный эффект ты станешь красивей и понятней изьясняться. Плюс лучше разбираться в вопросах, о которых пишешь. А чисто теоретически, твой маленький блог может вырасти во что-то масштабное

”Гуд, хотю попробовать, но о чём писать? Вроде бы не о чем” 
Каждому есть что рассказать, просто иногда это не сразу видно
1. Подумай есть ли у тебя любимая тема, вокруг которой крутятся мысли и разговоры. Если да - попробуй её взять за основу
2. Чаще всего начальная тема не ясна. Если у тебя так - попробуй просто писать о что сегодня целяет, через какое-то время ты увидишь что твоё и полезно людям, а что - нет

Как писать?
Обычно это разбивается на 2 части: собирание идей и их расписывание
1. Заведи себе в телеге личный чат, поставь его в закреп и набрасывай туда в течении дня идеи. Чистил (зубы) и прилетела прикольная вещь - запиши, едешь и тут что-то прилетело - запиши
2. А потом раз в день, например после завтрака садишься и рассписываешь идею и превращаешь её в красоту

Куда постить?
Выбирай то, где сидишь: инста/телега/твиттер/... . Приглашаешь знакомых, которым может быть интересно. Они тебе помогут разобраться как вести блог в начале. А со временем можешь вежливо упоминать себя во всяких тематических пабликах

Также можешь публиковаться в пабликах, где любой человек может опубликовать пост, [типа такого](https://t.me/mysli_vsluh_blog). Через 2 недели ведения блога, рекомендую прочитать [эту статью](https://vas3k.blog/notes/how_to_blog/)",Done
Анализ литературы (литературоведение),"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Легко начать, Не выходя из дома, Расслабляющее",Искусство и мастерение,"защищённость, знания, самопроявление","Про что на самом деле наши любимые книжки? С этим поможет литературоведение. По сути, анализ литературы - это прикладная психология/ философия, которая помогает лучше понять себя и окружающих

Часто писатели - это люди, которые что-то предчувствуют в обществе раньше учёных и хотят этим поделиться, хотя и не могут сформулировать логически. “Гарри Поттер” например это книжка [про предчувствие 3 мировой и возвращения фашизма](https://www.youtube.com/watch?v=9E1PwM_GVu0&t=2927s&ab_channel=%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F%D0%B3%D0%B0%D0%B7%D0%B5%D1%82%D0%B0)

Лучший литературовед, который может глубоко рассказать про кого-угодно это Дмитрий Быков. Пишете в гугле “дмитрий быков лекции” или дополняете именем/названием книги и с большой вероятностью найдёшь что-то себе интересное
Также есть [Михаил Веллер](https://www.youtube.com/watch?v=yPMm2P1xMag&t=1068s&ab_channel=%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%92%D0%B5%D0%BB%D0%BB%D0%B5%D1%80), кроме его замечательных выступлений на ютубе есть классная книга/аудиокнига Перпендикуляр. С критиками обязательно спорить, они часто вылазят за грани автора и самовлюблённо рассказывают что сами думают, но всё же это интересные и умные собеседники

Насчёт конкретных книг, которые понравились, но остались недоосмысленными можно гуглить статьи типо “Властелин колец смысл”. А если захочется прям ещё большего, можно поискать аннотированные издания книги. “Annotated/ critical edition” означает, что читая книгу какой-то писатель/ критик делал пометки

Начни с того, что послушай разборы книг, которые для тебя остались загадками и хотелось бы обдумать. Если таких нет - читай книжки и слушай критиков",Done
Создание видеоигр,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Не выходя из дома",Искусство и мастерение,"самопроявление, слава","Если любишь игры, для тебя будет интересный опыт самостоятельно сделать парочку. Это вообще не так страшно как кажется

Начать нужно с осваивания “движка” (приложения, благодаря которому делается игра). Самый популярный в мире движок - [Unity](https://unity.com/ru) и проходи там же туториалы. (Если комп не выдерживает - попробуй сделать свою настолку либо исползуй движки по-проще - [construct 3](https://editor.construct.net/))

Когда почувствуешь, что понял(-а) как всё работает - попробуй видоизменять под свой вкус игры с туториалов. А когда окрепнешь - вперёд делать что-то своё. Идеи будут сами приходить. Просто делай то, во что хочется самому(-ой) играть

Со временем, если тебя это дело затянет, можешь научиться рисовать персонажей и разбираться в геймдизайне",Done
Маркетинг,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Не выходя из дома, Соревновательное",Другое,"знания, приключенчество, самопроявление, слава","Отличный выбор!
Даже, если ты не планируешь ничего продавать, продавать всегда пытаются тебе. Реклама иногда выглядит очень странно и даже не верится, что она на нас влияет. Но она на нас влияет)

Поэтому в маркетинге стоит начинать разбираться не с лайфхаков как инсту рекламировать, а с психологии рекламы, почему она на нас вообще действует

На эту тему 2 шикарных книжки:
Система убеждения - Ник Коленда (эта насыщенней)
Предсказуемая иррациональность. Скрытые силы, определяющие наши решения - Дэн Ариели

Параллельно с чтением у тебя теперь появляется весёлое занятие - пытайся рекламу, на которую ты раньше не обращал(-а) внимания (бигборды, вывески, реклама на сайтах, в ютубе), тщательно анализировать и пытаться понять почему её сделали именно так

Если тебе понравятся основы маркетинга, сможешь пойти вглубь и смотреть каналы/ читать блоги на эти темы",Done
Жонглирование,"Активное, Бесплатно либо очень низкие затраты, Креативное, Не выходя из дома, Расслабляющее, Соревновательное",Исполнительское искусство,"приключенчество, самопроявление, слава","Весёлое трикстерсое занятие)

Найди/купи 3 теннисных мяча, их тебе хватит для жонглирования на очень очень долго, так как трюков даже с 3 мячами огромное кол-во. (Если хочешь прям сейчас уже попробовать, то можешь свернуть 3 носка в клубочки.) Начни с [этого урока](https://www.youtube.com/watch?v=m9NdhxGxzD4&ab_channel=WIRED)

У профессионалов всё выглядит легко и плавно, но как ты скоро убедишься, жонглировать не легко. Переходи к следующим упражнениям, когда хорошо натренированы предидущие. Лучший метод, чтобы не забить - держать мячи на видном месте, чтобы хватать их время от времени и тренероваться по 10 минут. Через пару дней это принесёт результаты. Также первое время шары будут падать на пол, советую учиться жонглировать над диваном/кроватью, чтобы быстро подымать мячи

Плюс посмотри выступления топовых жонглёров: [1](https://www.youtube.com/watch?v=XKRrfAzdpW8&ab_channel=hiandras), [2](https://www.youtube.com/watch?v=0rqeR-iLKYA&ab_channel=KumaFilms), [3](https://www.youtube.com/watch?v=YtGNxp4mvoM&ab_channel=YouMoreTv-Espect%C3%A1culo). Возможно освоив жонглирование шарами тебе захочется попробовать другие вещи",Done
Астрономия,"Вне дома, Не выходя из дома, Расслабляющее",Другое,"защищённость, знания","Хотя все Америки открыты, а до покорения звёзд далеко, в нас есть дух первооткрывательства и иногда хочется взглядуть туда далеко

[Советую начать с этого канала](https://www.youtube.com/channel/UCEBfCZwWKn4JzCKojL75B-Q)

Если почувствуешь, что хочется своими глазами находить и рассматривать звёзды, советую [эту статью](https://medium.com/@pashaXVI/%D1%81-%D1%87%D0%B5%D0%B3%D0%BE-%D0%BD%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%83%D0%B2%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%B5%D0%B9-71151e2e6c9a)",Done
Гитара,"Креативное, Не выходя из дома, Расслабляющее, Социальное",Исполнительское искусство,"защищённость, самопроявление, слава","Оооооо, уважаю за выбор\)

Как начать?
Скорее всего у тебя есть хотя бы 1 знакомый, у которого можно попросить гитару на время. Если да - отлично, если нет, но хочется - нужно подумать о покупке (разбираться прийдётся самостоятельно, так как гитара - вещь очень индивидуальная)

Как настроить?
Скачай Guitar Tuner - это замечательное приложение поможет быстро и безошибочно настроить инструмент

Ну что - погнали?\)
Замечательные уроки - https://www.youtube.com/playlist?list=PLsr4InzR8HwVuo0bzVH1SiGBgHeC_PlGz

Да, в начале будет тяжко. Так у всех, но спустя пару недель пальцы будут чувствовать себя всё лучше и лучше. Когда почувствуешь себя более ли менее уверенно, начинай учить любимые песни и мелодии

Держи гитару всегда на виду, чтобы в свободное время брать и поигрывать по 10-15 минут, это очень ускорит развитие. Если почувствуешь, что хочется, чтобы кто-то подкорректировал игру - можно пойти к учителю в своём городе",Done
Каллиграфия,"Бесплатно либо очень низкие затраты, Креативное, Легко начать, Не выходя из дома, Расслабляющее",Искусство и мастерение,"защищённость, помогахерство, самопроявление","Подписывание открыток и подарков делает их ещё более душевными и значимыми

Для начала возьми чем тебе удобней писать (ручка/маркер/карандаш) и потренируйся [базе](https://www.youtube.com/watch?v=i44Sm3ekTKQ&ab_channel=LoveCalligraphy). После выбирай какие шрифты и надписи [тебе больше нравятся и повторяй их](https://www.youtube.com/watch?v=--EPDAlyDZg&ab_channel=AmandaRachLee). Советую скринить и фотографировать понравившиеся",Done
Рисование,"Бесплатно либо очень низкие затраты, Креативное, Легко начать, Не выходя из дома, Расслабляющее",Искусство и мастерение,"защищённость, самопроявление","Наверняка ты уже когда-то пытался рисовать, но что-то застопорило. Обычно так происходит, когда мы учимся “правильным” методом осваивая кучище неинтересной базы и только потом приступая к тому, что бы нам хотелось

Оптимально сейчас подумать что бы хотелось нарисовать и найти в ютубе урок конкретно по этой картинке. Так сразу будет получаться, а базу по всяким композициям можно в будущем при желании освоить. В начале попробуй найти канал, на котором такие рисунки, которые тебе хочется рисовать самому и рисовать",Done
Танцы,"Активное, Бесплатно либо очень низкие затраты, Вне дома, Креативное, Легко начать, Не выходя из дома, Расслабляющее, Социальное",Исполнительское искусство,"приключенчество, самопроявление","Как попробовать себя в танцах?

Вариант 1 - прогуглить и пойти на курсы в своём городе. Главный минус в том, что люди которые ходят на танцы в среднем уже занимались ими лет 6 и ты с подсознательно будешь сравнивать себя с ними и испытывать дискомфорт

Вариант 2 - в свободное время включать музыку, которая тебе нравится и интуитивно танцевать под неё. В начале можно просто качать головой под бит, пока не почувствуешь что готова танцевать всем телом. Плюс можно смотреть туториалы на ютубе и пробовать новые движения

Дисклеймер: перед танцами стоит пару минут размяться, чтобы тело было готово ",Done
Экономика,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Легко начать, Не выходя из дома",Другое,"знания, лидерство","Внутри экономики есть 2 предмета:
до 20 века экономист это был человек, который обсуждал государственный строй и думал как бы было лучше. В 20 веке фокусом стало понимание поведения людей на рынке - почему кока-кола стоит столько-то, а яхта столько-то. Трешак ситуации заключается в том, что экономистами сейчас называют простых бухгалтеров

Из 3 вариантов экономик рекомендую разобраться с первыми двумя

С чего начать?
Было бы хорошо узнать а кто же такие деньги, как они появились и почему эти бумажки имеют значение.
С этим поможет разобраться (аудио)книга ”Государство и деньги: Как государство завладело денежной системой общества”.

Вторую более практическую часть темы даст “Экономист на диване. Экономическая наука и повседневная жизнь” Стивена Ландсбурга

Эти 2 вещи покажут о чём экономика и хочется ли дальше в ней развиваться",Done
Йойо,"Активное, Бесплатно либо очень низкие затраты, Креативное, Не выходя из дома, Расслабляющее, Соревновательное",Другое,"приключенчество, самопроявление, слава","Йо-йо - это по сути жонглирование нашего времени. Многие думают, что всё заканчивается тем чтобы красиво опустить и поднять его на нитке

Нэт) Посмотри [чемпиона мира](https://www.youtube.com/watch?v=-wiNh4LLQzg&list=PLibNZv5Zd0dzvoxXrjA9xNHLpdgLhTkZz&index=39&ab_channel=WIRED)

Если есть завалящий йо-йо, то лучше начни изучать трюки с ним. Но если захочится больше трюков - то нужно будет купить йо-йо для трюков типа “бабочка”. Они стоят от 5 до 20$

[Обучение трюкам от 0 до чемпиона](https://www.youtube.com/watch?v=HeJKz1Cc0mc&t=998s&ab_channel=WIRED)",Done
Битбоксинг,"Бесплатно либо очень низкие затраты, Креативное, Легко начать, Не выходя из дома, Расслабляющее",Исполнительское искусство,"самопроявление, слава","Хочется узнать как битбоксеры излучают качевую музыку исключительно своим ртом?

Вот откличный урок для начала:
https://www.youtube.com/watch?v=Efk_z9kg2MU&list=PLibNZv5Zd0dz-S1M_zimRtPCIQg6Fcd8x&index=14&ab_channel=WIRED
Поигравшись с первыми 3 уровнями, можно искать следующие уроки плюс смотреть лучших битбоксеров - https://www.youtube.com/watch?v=CPKq9sDIs2M&ab_channel=Asia%27sGotTalent
Что удивительно, все битбоксеры уникальны, у каждого из нас уникальный голос и уникальное чувство ритма, поэтому натренеровав основы можно выдумывать свои биты",Done
"Философия ","Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Не выходя из дома, Расслабляющее",Другое,"знания, помогахерство, слава","Философия с древнегреческого переводится как любовь к мудрости. Этот момент имеет ключевое значение философии. Изначально это была всеобьемлющая наука обо всём, но потихоньку от неё откалывались кусочки и ими занимались науки. Что же осталось после всех этих отщупываний?
Любовь к мудрости) То есть интерес к тому как жить так, чтобы чувствовать, что живёшь не зря

Как стартануть?
Тут нужно обратиться к папе философии - Сократу. Этот гениальный человек 2 с половиной тысячи лет назад настолько дельно рассказал своё представление о жизни, что спустя столько времени особо нечего добавить и государственным псевдофилософам приходится сидеть строчить какую-то муть про ""тень диалектического бытия"", так как дополнить Сократа не получится

Так что начни с книжки/аудиокнижки “Воспоминания о Сократе” Ксенофорта

Если захочется что-нибудь ещё такого плана, то можно будет читать Сенеку, Эпиктета
Можно пойти и с другой стороны глобуса и прочитать главную философскую книгу Китая - “Дао дэ цзин” от Лао-цзы. Но если у европейцев будет всё точно и понятно, то в Азии философия абкстрактна и поэтична

Бери на свой вкус, главный критерий выбора автора - чувствуется ли уважение к этому автору как к личности",Done
Кибербезопастность,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Легко начать, Не выходя из дома, Соревновательное",Другое,"приключенчество, самопроявление, слава","Мы думаем, что в интернете мы в безопасности, что у нас надёжные пароли, что домашний вай-фай защищён, но по факту это не так

Разбирание в кибербезопастности поможет понять насколько мы незащищены используя технологии и понимать где что как может пойти не так, предохраняясь от неприятных ситуаций

Вот замечательный канал, где хакер показывает как у всех всё взламывает
https://www.youtube.com/@overbafer1

Если захочется самостоятельно пощупать как это работает, то есть замечательные англоязычные сайты, которые обьясняют хакинг и защиту от него: https://www.hacker101.com/start-here/ https://tryhackme.com// https://www.hackthebox.com/",Done
Баскетбол,"Активное, Бесплатно либо очень низкие затраты, Вне дома, Интеллектуально цепляющее, Соревновательное, Социальное",Игры и спорт,"лидерство, приключенчество, слава",Правила -[ https://www.youtube.com/watch?v=wYjp2zoqQrs&ab_channel=NinhLy],Done
